"name","description","owner","is_private","url","updated_at","created_at","license","primary_language","homepage_url","is_fork","created_year","license_dummy","primary_language_ext","primary_language_ext2","homepage_url_dummy","publication_type"
"grant-parser",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/grant-parser","2025-11-09","2024-10-31",NA,"Python","https://global-health-engineering.github.io/grant-parser/",FALSE,2024,TRUE,"Python","Python","Homepage","Code"
"ghe_transcribe","A Tool to Transcribe Audio Files with Speaker Diarization","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/ghe_transcribe","2025-11-06","2025-03-26","MIT License","Python","https://renkulab.io/p/nmassari/ghe-transcribe/sessions/01K7KK30KS1CS1ZW45MZCKR6TD/start?HF_HUB_DISABLE_TELEMETRY=1&HF_HUB_DISABLE_PROGRESS_BARS=1",FALSE,2025,FALSE,"Python","Python","Homepage","Code"
"website","Open Science website of the Global Health Engineering group at ETH Zurich.","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/website","2025-11-04","2023-02-27","Creative Commons Attribution 4.0 International","JavaScript","https://ghe-open.ch",FALSE,2023,FALSE,"JavaScript","Other language","Homepage","Code"
"plastic-scanner",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/plastic-scanner","2025-10-30","2025-10-30",NA,NA,NA,FALSE,2025,TRUE,"No primary language","No primary language","No homepage","Code"
"dataset_extraction_tools","Extract datasets from documents pipeline: Document → Markdown → Structured Data with Evidence","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/dataset_extraction_tools","2025-10-30","2025-09-04","MIT License","Python",NA,FALSE,2025,FALSE,"Python","Python","No homepage","Code"
"solar-pasteurizer-v3",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/solar-pasteurizer-v3","2025-10-14","2025-09-18","Creative Commons Attribution 4.0 International","Python",NA,FALSE,2025,FALSE,"Python","Python","No homepage","Code"
"remote-comm-solar",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/remote-comm-solar","2025-10-06","2025-09-09","Apache License 2.0","C++",NA,FALSE,2025,FALSE,"C++","Other language","No homepage","Code"
"ghedata","The goal of ghedata is to share data resources that document the work of the Global Health Engineering group at ETH Zurich.","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/ghedata","2025-10-02","2024-11-16","Creative Commons Attribution 4.0 International","R","https://global-health-engineering.github.io/ghedata/",FALSE,2024,FALSE,"R","R","Homepage","Code"
"man-ghedata",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/man-ghedata","2025-10-02","2025-07-22",NA,"R",NA,FALSE,2025,TRUE,"R","R","No homepage","Code"
"brown-bag",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/brown-bag","2025-09-26","2024-07-11",NA,"JavaScript","https://global-health-engineering.github.io/brown-bag/",FALSE,2024,TRUE,"JavaScript","Other language","Homepage","Code"
