id,due,name,text
1,2023-08-03T00:00:00Z,member-6b54,"We are very excited to introduce you, openwashdata, a GHE core open science practice. As you may see, “data is the new water” and there is yet a lack of up-to-date open data practice in the WASH domain. We build openwashdata community to bridge the gap! 

Subscribe to the newsletter: https://buttondown.email/openwashdata

Follow the project on Github: https://github.com/openwashdata

Share openwashdata website: https://openwashdata.org

Our team member is also going to #World Water Week. Connect and talk to us in Stockholm! The openwashdata is funded by Open Research Data Program of the ETH Board."
2,2023-08-10T00:00:00Z,member-mbh2,"What's the most important skill for a researcher? 

@Saloni, our Ph.D. student, believes it's resourcefulness, especially when research involves fieldwork and is subject to time constraints.
 
Saloni talked about her own experience doing air quality experiments in Malawi. She said, ""Imagine bringing all your tools to Malawi and then realizing there's no right stand to mount the monitors. I was super worried. But thanks to @Hope, our research assistant from Malawi, who said, 'Let's make one.' This is just one example of many situations I faced in two months, where being resourceful helped us to gather the necessary data.”

In pictures: @Hope and @Saloni building a frame with a movable bar."
3,2023-08-17T00:00:00Z,member-pzlu,"Do you want to work on projects with direct impact on society? Global Health Engineering is hiring! Find all available offers here: https://ghe.ethz.ch/work-with-us/open-positions.html

We are looking for students willing to work on the Bachelor’s and Master’s Theses, as well as the Semester Projects. Are you a motivated individual who wants to advance the quality of life and work in sub-Saharan Africa and get the hands on experience in Switzerland, Malawi, Kenya or South Africa? Our cross-disciplinary team is looking for mechanical engineering students to work on thermodynamics, waste characterisation, mechanical engineering, and machine vision."
4,2023-08-24T00:00:00Z,member-xi3l,"🌊 Exciting times at #WorldWaterWeek in Stockholm! 🇸🇪🌍 Engaging discussions, innovative solutions, and impactful connections - all under one roof. Mian and Sebastian are very grateful for the opportunity to join the global conversation on wash and advocate for the #openwashdata community. Let's enhance the collaboration for a more water-secure and sustainable future! 💧 #WWWeek"
5,2023-08-31T00:00:00Z,member-48h5,"We are pleased to announce that @GHE Senior Scientist @Marc Kalina has been awarded funding from the @SNF under a three-year grant through the Swiss-South African Joint Research Programme. With Prof. @Catherina Schenck of the @university of the western cape, and jointly supported by the South African @national research foundation, Dr. Kalina's team will be investigating illegal dumping in South African Local Municipalities across the country while developing remote sensing tools to identify and characterise waste leakage points. We are excited to be working with @the university of the western cape, and to share the exciting outcomes of this project as they develop. Exciting MSc thesis topics related to this project are already available. Please visit our website for more details."
6,2023-09-07T00:00:00Z,member-l5ex,"[link the post]
https://ethz.ch/en/news-and-events/eth-news/news/2023/09/blog-is-switzerland-spending-its-climate-funds-wisely.html

Through a new bilateral carbon trading pact, Switzerland is poised to fund the construction of thousands of household biogas reactors in Malawi. In a newly published @eth Zukunfstblog, @GHE Senior Scientist @marc kalina reflects on the track record of similar investments, as well as the ethics of burdening countries like Malawi, located on the frontlines of Southern Africa’s climate change battle, with failed or failing projects which make little impact on the ground.

It was encouraging to see Dr. Kalina's contribution feature on the ETH main page, and for ETH to facilitate a dialogue on this topic. Watch this space for future updates as we continue to push for an ethical and impactful programme for Malawi and the transparent use of Switzerland's climate funds."
7,2023-09-14T00:00:00Z,member-lfen,"(add images to post)

What's with the pile of punctured #plasticwaste next to @Lin?


In Malawi, empty #pesticide containers are punctured to prevent others from reusing them (e.g. water storage). 

However, highly concentrated residues from pesticide #packaging and the #plastic itself can still leak into water and soils, which poses serious environmental and human health risks.

Unfortunately, this plastic often has nowhere to go.

In the current linear economy, the cost and burden of disposal is generally passed onto the consumer – but safe disposal and #recycling systems for plastic waste are underdeveloped and often inaccessible.

What are better ways to manage pesticide packaging #waste?"
9,2023-09-28T00:00:00Z,member-6b54,"Have you ever wondered about the connection among diamonds💎, conflicts 😐 and romance💕? Are you curious about digital diplomacy 💻 and how Switzerland 🇨🇭is acting? Do not miss this line-up of expert speakers at Colloquium Science, Technology and Policy! Thanks @Dr. Laurent Cartier gave a splendid first talk of the series on diamond traceability. Absolutely inspiring!
 
Hosted by Professor @Elizabeth Tilley, the colloquium runs each Wednesday noon from Sept 27 to Dec 6 open to public both in-person and online. Register to get inspired!

https://istp.ethz.ch/events/colloquia/2023/HS.html"
10,2023-10-05T00:00:00Z,member-pzlu,"As a chair of Global Health Engineering, we not only work on global sanitation and health problems. Our Master student, Dominic Wälti, investigates and evaluates working conditions of the crew at Entsorgung + Recycling Zürich (ERZ) with the dual purpose of improving these conditions and developing practical technological solutions to reduce physical strain. His research focuses on waste collection sites spread throughout the city of Zurich. It turns out that a recurring problem emerges where waste is not handled properly, according to regulations. As a result, a significant amount of waste ends up being deposited on the ground. This issue requires the workforce to address the unauthorized disposal. The workers bear the responsibility of manually cleaning the collection sites, they take on this demanding task without the aid of specialized tools or equipment.
 
Dominic's cross-disciplinary thesis encompasses systematic assessment of health at work and technical solution development. Ergonomic analysis methodologies are used for the investigation of physical exertion. Risk assessment tools are applied within this context. Dominic spent two weeks with the workers to observe and assess their working routine, as well as interview them to get insightful suggestions for health at work improvement. His final results are the recommendations provided to ERZ."
11,2023-10-12T00:00:00Z,member-mbh2,"Dive into the world of open data and make a splash in the WASH domain! Our very first Data Science for openwashdata Academy is happening on Oct 31st! Join @Lars and @Mian for 10 modules of fun, informative, and up-to-date data practice to build your first openwashdata dataset. The academy is entirely online, no pre-requisite, and free! All course materials are publicly available.

Grab some friends to learn together and sign up now! 

https://forms.gle/WDcvc1X18eCCTN5UA"
