"date","impressions","clicks","reactions","comments","reposts","engagement_rate"
"2023-08-07",89,4,2,0,0,0.06741573033707865
"2023-08-08",335,12,15,1,4,0.0955223880597015
"2023-08-09",123,2,4,0,0,0.04878048780487805
"2023-08-10",72,1,2,0,0,0.041666666666666664
"2023-08-11",621,17,27,3,1,0.07729468599033816
"2023-08-12",341,15,7,1,0,0.06744868035190615
"2023-08-13",205,10,5,0,0,0.07317073170731707
"2023-08-14",788,32,32,0,1,0.08248730964467005
"2023-08-15",242,10,8,0,0,0.0743801652892562
"2023-08-16",196,5,6,0,0,0.05612244897959184
"2023-08-17",209,9,5,0,0,0.06698564593301436
"2023-08-18",109,4,3,0,0,0.06422018348623854
"2023-08-19",64,3,1,0,0,0.0625
"2023-08-20",59,1,3,0,0,0.06779661016949153
"2023-08-21",1081,61,23,1,4,0.08233117483811286
"2023-08-22",304,29,12,0,0,0.13486842105263158
"2023-08-23",247,10,0,0,0,0.04048582995951417
"2023-08-24",155,8,5,2,0,0.0967741935483871
"2023-08-25",99,4,0,0,0,0.04040404040404041
"2023-08-26",72,6,0,0,0,0.08333333333333333
"2023-08-27",105,3,0,0,0,0.02857142857142857
"2023-08-28",548,34,23,0,1,0.10583941605839416
"2023-08-29",359,9,12,0,2,0.06406685236768803
"2023-08-30",70,4,12,0,1,0.24285714285714285
"2023-08-31",126,5,2,0,0,0.05555555555555555
"2023-09-01",58,0,2,0,0,0.034482758620689655
"2023-09-02",38,1,2,0,0,0.07894736842105263
"2023-09-03",134,7,1,0,0,0.05970149253731343
"2023-09-04",162,5,11,0,0,0.09876543209876543
"2023-09-05",357,6,12,2,1,0.058823529411764705
"2023-09-06",408,18,11,0,-3,0.06372549019607843
"2023-09-07",204,8,4,0,0,0.058823529411764705
"2023-09-08",117,1,4,0,0,0.042735042735042736
"2023-09-09",135,15,0,0,0,0.1111111111111111
"2023-09-10",152,10,3,0,0,0.08552631578947369
"2023-09-11",380,11,17,2,1,0.08157894736842106
"2023-09-12",800,41,18,2,2,0.07875
"2023-09-13",201,9,1,0,0,0.04975124378109453
"2023-09-14",138,7,3,0,1,0.07971014492753623
"2023-09-15",111,0,1,0,0,0.009009009009009009
"2023-09-16",146,3,1,1,0,0.03424657534246575
"2023-09-17",102,1,0,0,0,0.00980392156862745
"2023-09-18",653,41,18,1,0,0.09188361408882083
"2023-09-19",709,37,22,2,1,0.08744710860366714
"2023-09-20",351,10,9,1,0,0.05698005698005698
"2023-09-21",155,7,4,3,0,0.09032258064516129
"2023-09-22",166,1,6,1,0,0.04819277108433735
"2023-09-23",202,12,7,2,0,0.10396039603960396
"2023-09-24",203,15,4,0,0,0.09359605911330049
"2023-09-25",727,54,26,0,1,0.11141678129298486
"2023-09-26",297,26,12,0,0,0.12794612794612795
"2023-09-27",127,10,2,0,0,0.09448818897637795
"2023-09-28",148,9,3,0,0,0.08108108108108109
"2023-09-29",216,11,5,1,0,0.0787037037037037
"2023-09-30",173,15,1,0,0,0.09248554913294797
"2023-10-01",148,11,1,0,0,0.08108108108108109
"2023-10-02",302,8,12,0,0,0.06622516556291391
"2023-10-03",1060,27,18,8,4,0.05377358490566038
"2023-10-04",415,23,1,1,0,0.060240963855421686
"2023-10-05",239,6,2,1,0,0.03765690376569038
"2023-10-06",259,7,3,0,1,0.04247104247104247
"2023-10-07",105,1,0,1,1,0.02857142857142857
"2023-10-08",164,1,0,1,0,0.012195121951219513
"2023-10-09",1028,25,24,2,0,0.04961089494163424
"2023-10-10",1172,28,34,7,1,0.059726962457337884
"2023-10-11",763,38,5,0,0,0.0563564875491481
"2023-10-12",319,4,4,0,0,0.025078369905956112
"2023-10-13",467,17,4,0,0,0.044967880085653104
"2023-10-14",277,10,4,0,0,0.05054151624548736
