"date","followers","new_followers","cumulative_followers"
"2023-08-07",3,3,1136
"2023-08-08",5,8,1141
"2023-08-09",2,10,1143
"2023-08-10",1,11,1144
"2023-08-11",1,12,1145
"2023-08-12",5,17,1150
"2023-08-13",2,19,1152
"2023-08-14",4,23,1156
"2023-08-15",3,26,1159
"2023-08-16",1,27,1160
"2023-08-17",1,28,1161
"2023-08-18",1,29,1162
"2023-08-19",2,31,1164
"2023-08-20",0,31,1164
"2023-08-21",15,46,1179
"2023-08-22",6,52,1185
"2023-08-23",3,55,1188
"2023-08-24",2,57,1190
"2023-08-25",2,59,1192
"2023-08-26",1,60,1193
"2023-08-27",5,65,1198
"2023-08-28",1,66,1199
"2023-08-29",3,69,1202
"2023-08-30",2,71,1204
"2023-08-31",1,72,1205
"2023-09-01",4,76,1209
"2023-09-02",1,77,1210
"2023-09-03",2,79,1212
"2023-09-04",4,83,1216
"2023-09-05",3,86,1219
"2023-09-06",3,89,1222
"2023-09-07",3,92,1225
"2023-09-08",1,93,1226
"2023-09-09",3,96,1229
"2023-09-10",2,98,1231
"2023-09-11",0,98,1231
"2023-09-12",2,100,1233
"2023-09-13",1,101,1234
"2023-09-14",14,115,1248
"2023-09-15",2,117,1250
"2023-09-16",1,118,1251
"2023-09-17",3,121,1254
"2023-09-18",1,122,1255
"2023-09-19",3,125,1258
"2023-09-20",2,127,1260
"2023-09-21",1,128,1261
"2023-09-22",3,131,1264
"2023-09-23",1,132,1265
"2023-09-24",1,133,1266
"2023-09-25",4,137,1270
"2023-09-26",1,138,1271
"2023-09-27",2,140,1273
"2023-09-28",2,142,1275
"2023-09-29",2,144,1277
"2023-09-30",0,144,1277
"2023-10-01",2,146,1279
"2023-10-02",1,147,1280
"2023-10-03",13,160,1293
"2023-10-04",4,164,1297
"2023-10-05",3,167,1300
"2023-10-06",3,170,1303
"2023-10-07",7,177,1310
"2023-10-08",2,179,1312
"2023-10-09",5,184,1317
"2023-10-10",8,192,1325
"2023-10-11",8,200,1333
"2023-10-12",3,203,1336
"2023-10-13",2,205,1338
"2023-10-14",2,207,1340
"2023-10-15",0,207,1340
"2023-10-16",5,212,1345
"2023-10-17",2,214,1347
"2023-10-18",1,215,1348
"2023-10-19",4,219,1352
"2023-10-20",2,221,1354
"2023-10-21",2,223,1356
"2023-10-22",2,225,1358
"2023-10-23",6,231,1364
"2023-10-24",5,236,1369
"2023-10-25",4,240,1373
"2023-10-26",4,244,1377
"2023-10-27",6,250,1383
"2023-10-28",4,254,1387
"2023-10-29",1,255,1388
"2023-10-30",9,264,1397
"2023-10-31",6,270,1403
"2023-11-01",4,274,1407
"2023-11-02",0,274,1407
"2023-11-03",5,279,1412
"2023-11-04",2,281,1414
"2023-11-05",2,283,1416
"2023-11-06",13,296,1429
"2023-11-07",6,302,1435
"2023-11-08",4,306,1439
"2023-11-09",5,311,1444
"2023-11-10",3,314,1447
"2023-11-11",3,317,1450
"2023-11-12",2,319,1452
"2023-11-13",3,322,1455
"2023-11-14",6,328,1461
"2023-11-15",9,337,1470
"2023-11-16",8,345,1478
"2023-11-17",2,347,1480
"2023-11-18",4,351,1484
"2023-11-19",4,355,1488
"2023-11-20",7,362,1495
"2023-11-21",2,364,1497
"2023-11-22",4,368,1501
"2023-11-23",3,371,1504
"2023-11-24",2,373,1506
"2023-11-25",3,376,1509
"2023-11-26",3,379,1512
"2023-11-27",8,387,1520
"2023-11-28",4,391,1524
"2023-11-29",1,392,1525
"2023-11-30",0,392,1525
"2023-12-01",7,399,1532
"2023-12-02",2,401,1534
"2023-12-03",3,404,1537
"2023-12-04",6,410,1543
"2023-12-05",10,420,1553
"2023-12-06",6,426,1559
"2023-12-07",0,426,1559
"2023-12-08",4,430,1563
"2023-12-09",2,432,1565
"2023-12-10",0,432,1565
"2023-12-11",3,435,1568
"2023-12-12",1,436,1569
"2023-12-13",0,436,1569
"2023-12-14",1,437,1570
"2023-12-15",2,439,1572
"2023-12-16",0,439,1572
"2023-12-17",0,439,1572
"2023-12-18",1,440,1573
"2023-12-19",0,440,1573
"2023-12-20",2,442,1575
"2023-12-21",1,443,1576
"2023-12-22",3,446,1579
"2023-12-23",1,447,1580
"2023-12-24",1,448,1581
"2023-12-25",1,449,1582
"2023-12-26",0,449,1582
"2023-12-27",0,449,1582
"2023-12-28",2,451,1584
"2023-12-29",0,451,1584
"2023-12-30",0,451,1584
"2023-12-31",0,451,1584
"2024-01-01",0,451,1584
"2024-01-02",0,451,1584
"2024-01-03",0,451,1584
"2024-01-04",0,451,1584
"2024-01-05",0,451,1584
"2024-01-06",0,451,1584
"2024-01-07",0,451,1584
"2024-01-08",0,451,1584
"2024-01-09",0,451,1584
"2024-01-10",2,453,1586
"2024-01-11",0,453,1586
"2024-01-12",0,453,1586
"2024-01-13",0,453,1586
"2024-01-14",0,453,1586
"2024-01-15",26,479,1612
"2024-01-16",4,483,1616
"2024-01-17",0,483,1616
"2024-01-18",2,485,1618
"2024-01-19",4,489,1622
"2024-01-20",0,489,1622
"2024-01-21",1,490,1623
"2024-01-22",2,492,1625
"2024-01-23",1,493,1626
"2024-01-24",0,493,1626
"2024-01-25",0,493,1626
"2024-01-26",0,493,1626
"2024-01-27",1,494,1627
"2024-01-28",0,494,1627
"2024-01-29",2,496,1629
"2024-01-30",4,500,1633
"2024-01-31",0,500,1633
"2024-02-01",1,501,1634
"2024-02-02",3,504,1637
"2024-02-03",0,504,1637
"2024-02-04",0,504,1637
"2024-02-05",19,523,1656
"2024-02-06",8,531,1664
"2024-02-07",2,533,1666
"2024-02-08",3,536,1669
"2024-02-09",2,538,1671
"2024-02-10",0,538,1671
"2024-02-11",1,539,1672
"2024-02-12",1,540,1673
"2024-02-13",1,541,1674
"2024-02-14",16,557,1690
"2024-02-15",5,562,1695
"2024-02-16",1,563,1696
"2024-02-17",0,563,1696
"2024-02-18",2,565,1698
"2024-02-19",6,571,1704
"2024-02-20",4,575,1708
"2024-02-21",3,578,1711
"2024-02-22",43,621,1754
"2024-02-23",5,626,1759
"2024-02-24",2,628,1761
"2024-02-25",2,630,1763
"2024-02-26",4,634,1767
"2024-02-27",6,640,1773
"2024-02-28",6,646,1779
"2024-02-29",4,650,1783
"2024-03-01",3,653,1786
"2024-03-02",1,654,1787
"2024-03-03",3,657,1790
"2024-03-04",4,661,1794
