"date","overview_page_views","overview_unique_visitors","life_page_views","life_unique_visitors","jobs_page_views","jobs_unique_visitors","total_page_views_desktop","total_page_views_mobile","total_page_views","total_unique_visitors_desktop","total_unique_visitors_mobile","total_unique_visitors"
"2023-08-07",4,3,0,0,1,1,2,3,5,2,1,3
"2023-08-08",9,6,0,0,1,1,3,11,14,1,5,6
"2023-08-09",4,2,0,0,0,0,0,4,4,0,2,2
"2023-08-10",6,4,0,0,0,0,2,4,6,2,2,4
"2023-08-11",6,3,0,0,1,1,1,7,8,1,2,3
"2023-08-12",4,3,0,0,1,1,2,3,5,1,2,3
"2023-08-13",1,1,0,0,0,0,0,1,1,0,1,1
"2023-08-14",7,4,0,0,0,0,2,6,8,2,2,4
"2023-08-15",12,4,0,0,0,0,10,4,14,2,2,4
"2023-08-16",6,4,0,0,1,1,5,3,8,3,1,4
"2023-08-17",8,3,0,0,4,1,3,14,17,1,2,3
"2023-08-18",5,3,0,0,0,0,2,3,5,1,2,3
"2023-08-19",0,0,0,0,0,0,0,0,0,0,0,0
"2023-08-20",0,0,0,0,0,0,0,0,0,0,0,0
"2023-08-21",19,11,0,0,0,0,3,17,20,3,8,11
"2023-08-22",19,7,0,0,1,1,3,20,23,2,5,7
"2023-08-23",19,5,0,0,2,2,2,23,25,1,4,5
"2023-08-24",7,3,0,0,0,0,2,5,7,1,2,3
"2023-08-25",1,1,0,0,0,0,1,0,1,1,0,1
"2023-08-26",2,1,0,0,0,0,2,0,2,1,0,1
"2023-08-27",13,4,0,0,0,0,0,13,13,0,4,4
"2023-08-28",15,4,0,0,0,0,0,15,15,0,4,4
"2023-08-29",9,4,0,0,2,1,1,16,17,1,3,4
"2023-08-30",8,6,0,0,0,0,8,1,9,5,1,6
"2023-08-31",6,3,0,0,0,0,1,5,6,1,2,3
"2023-09-01",1,1,0,0,0,0,1,0,1,1,0,1
"2023-09-02",1,1,0,0,0,0,1,0,1,1,0,1
"2023-09-03",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-04",2,2,0,0,0,0,2,0,2,2,0,2
"2023-09-05",3,1,0,0,0,0,3,0,3,1,0,1
"2023-09-06",20,4,0,0,0,0,19,1,20,3,1,4
"2023-09-07",4,2,0,0,1,1,0,5,5,0,2,2
"2023-09-08",3,2,0,0,0,0,1,2,3,1,1,2
"2023-09-09",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-10",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-11",8,3,0,0,0,0,8,0,8,3,0,3
"2023-09-12",17,7,0,0,1,1,8,13,21,4,3,7
"2023-09-13",4,2,0,0,0,0,1,3,4,1,1,2
"2023-09-14",5,4,0,0,0,0,4,2,6,3,1,4
"2023-09-15",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-16",3,1,0,0,0,0,3,0,3,1,0,1
"2023-09-17",3,2,0,0,0,0,0,3,3,0,2,2
"2023-09-18",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-19",12,4,0,0,1,1,8,5,13,3,1,4
"2023-09-20",3,2,0,0,0,0,1,4,5,1,1,2
"2023-09-21",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-22",5,3,0,0,0,0,3,2,5,2,1,3
"2023-09-23",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-24",0,0,0,0,0,0,0,0,0,0,0,0
"2023-09-25",6,5,0,0,1,1,3,5,8,2,3,5
"2023-09-26",1,1,0,0,0,0,0,1,1,0,1,1
"2023-09-27",4,2,0,0,0,0,0,5,5,0,2,2
"2023-09-28",1,1,0,0,0,0,1,0,1,1,0,1
"2023-09-29",7,3,0,0,1,1,7,2,9,2,1,3
"2023-09-30",7,2,0,0,0,0,1,6,7,1,1,2
"2023-10-01",0,0,0,0,0,0,0,0,0,0,0,0
"2023-10-02",4,2,0,0,0,0,1,3,4,1,2,2
"2023-10-03",11,5,0,0,0,0,3,8,11,2,3,5
"2023-10-04",8,3,0,0,1,1,7,4,11,2,1,3
"2023-10-05",1,1,0,0,0,0,1,1,2,1,1,2
"2023-10-06",4,1,0,0,0,0,4,0,4,1,0,1
"2023-10-07",2,2,0,0,0,0,2,0,2,2,0,2
"2023-10-08",2,2,0,0,1,1,0,3,3,0,2,2
"2023-10-09",9,6,0,0,1,1,5,5,10,4,2,6
"2023-10-10",7,3,0,0,0,0,5,4,9,1,2,3
"2023-10-11",17,8,0,0,2,2,3,16,19,2,6,8
"2023-10-12",0,0,0,0,0,0,0,0,0,0,0,0
"2023-10-13",2,2,0,0,0,0,0,2,2,0,2,2
"2023-10-14",2,1,0,0,0,0,0,2,2,0,1,1
"2023-10-15",4,2,0,0,0,0,0,6,6,0,2,2
"2023-10-16",16,4,0,0,0,0,8,8,16,2,2,4
"2023-10-17",15,4,0,0,0,0,5,10,15,1,3,4
"2023-10-18",2,1,0,0,0,0,2,0,2,1,0,1
"2023-10-19",0,0,0,0,0,0,0,0,0,0,0,0
"2023-10-20",2,1,0,0,1,1,0,6,6,0,1,1
"2023-10-21",0,0,0,0,0,0,0,0,0,0,0,0
"2023-10-22",8,3,0,0,0,0,0,8,8,0,3,3
"2023-10-23",5,2,0,0,0,0,3,2,5,1,1,2
"2023-10-24",23,2,0,0,0,0,4,19,23,1,1,2
"2023-10-25",12,2,0,0,0,0,0,12,12,0,2,2
"2023-10-26",16,5,0,0,0,0,11,6,17,2,3,5
"2023-10-27",6,1,0,0,0,0,0,6,6,0,1,1
"2023-10-28",2,1,0,0,1,1,0,5,5,0,1,1
"2023-10-29",2,2,0,0,0,0,0,2,2,0,2,2
"2023-10-30",18,4,0,0,0,0,4,21,25,1,3,4
"2023-10-31",6,5,0,0,0,0,7,0,7,5,0,5
"2023-11-01",5,2,0,0,0,0,0,5,5,0,2,2
"2023-11-02",3,2,0,0,0,0,2,7,9,1,2,3
"2023-11-03",8,4,0,0,0,0,1,8,9,1,3,4
"2023-11-04",0,0,0,0,0,0,0,0,0,0,0,0
"2023-11-05",5,2,0,0,0,0,0,5,5,0,2,2
"2023-11-06",37,11,0,0,2,2,10,30,40,4,7,11
"2023-11-07",9,4,0,0,0,0,6,4,10,2,2,4
"2023-11-08",9,2,0,0,0,0,0,9,9,0,2,2
"2023-11-09",9,4,0,0,0,0,6,3,9,2,2,4
"2023-11-10",16,7,0,0,0,0,2,16,18,2,5,7
"2023-11-11",2,2,0,0,0,0,1,1,2,1,1,2
"2023-11-12",0,0,0,0,0,0,0,0,0,0,0,0
"2023-11-13",7,3,0,0,0,0,0,7,7,0,3,3
"2023-11-14",6,4,0,0,3,2,4,9,13,2,2,4
"2023-11-15",13,7,0,0,1,1,2,12,14,2,5,7
"2023-11-16",10,5,0,0,0,0,2,8,10,2,3,5
"2023-11-17",4,1,0,0,0,0,4,0,4,1,0,1
"2023-11-18",1,1,0,0,0,0,0,1,1,0,1,1
"2023-11-19",1,1,0,0,0,0,1,0,1,1,0,1
"2023-11-20",6,4,0,0,0,0,4,3,7,3,1,4
"2023-11-21",11,4,0,0,0,0,12,1,13,3,1,4
"2023-11-22",8,6,0,0,0,0,3,6,9,3,3,6
"2023-11-23",4,4,0,0,0,0,2,3,5,2,3,5
"2023-11-24",1,1,0,0,0,0,1,0,1,1,0,1
"2023-11-25",1,1,0,0,0,0,0,1,1,0,1,1
"2023-11-26",1,1,0,0,0,0,1,0,1,1,0,1
"2023-11-27",11,4,0,0,1,1,7,7,14,1,3,4
"2023-11-28",1,1,0,0,0,0,1,0,1,1,0,1
"2023-11-29",2,1,0,0,0,0,0,2,2,0,1,1
"2023-11-30",0,0,0,0,0,0,0,0,0,0,0,0
"2023-12-01",8,5,0,0,0,0,2,6,8,2,3,5
"2023-12-02",9,6,0,0,0,0,1,9,10,1,5,6
"2023-12-03",1,1,0,0,0,0,0,1,1,0,1,1
"2023-12-04",27,9,0,0,0,0,3,26,29,3,6,9
"2023-12-05",17,13,0,0,2,2,5,16,21,5,8,13
"2023-12-06",9,7,0,0,0,0,5,5,10,4,3,7
"2023-12-07",1,1,0,0,0,0,2,0,2,1,0,1
"2023-12-08",6,3,0,0,4,2,8,4,12,2,1,3
"2023-12-09",4,1,0,0,0,0,0,4,4,0,1,1
"2023-12-10",2,1,0,0,0,0,2,0,2,1,0,1
"2023-12-11",3,3,0,0,0,0,1,2,3,1,2,3
"2023-12-12",2,2,0,0,0,0,1,1,2,1,1,2
"2023-12-13",2,2,0,0,1,1,0,3,3,0,2,2
"2023-12-14",4,3,0,0,0,0,3,1,4,2,1,3
"2023-12-15",2,2,0,0,0,0,4,0,4,2,0,2
"2023-12-16",2,1,0,0,0,0,0,2,2,0,1,1
"2023-12-17",0,0,0,0,0,0,0,0,0,0,0,0
"2023-12-18",2,1,0,0,0,0,2,0,2,1,0,1
"2023-12-19",0,0,0,0,0,0,1,0,1,1,0,1
"2023-12-20",0,0,0,0,0,0,0,0,0,0,0,0
"2023-12-21",4,2,0,0,0,0,4,0,4,2,0,2
"2023-12-22",3,2,0,0,0,0,1,2,3,1,1,2
"2023-12-23",2,1,0,0,0,0,0,2,2,0,1,1
"2023-12-24",0,0,0,0,0,0,0,0,0,0,0,0
"2023-12-25",0,0,0,0,0,0,0,0,0,0,0,0
"2023-12-26",0,0,0,0,0,0,0,0,0,0,0,0
"2023-12-27",2,1,0,0,0,0,0,2,2,0,1,1
"2023-12-28",4,2,0,0,0,0,0,5,5,0,2,2
"2023-12-29",2,1,0,0,0,0,0,2,2,0,1,1
"2023-12-30",0,0,0,0,0,0,0,0,0,0,0,0
"2023-12-31",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-01",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-02",1,1,0,0,0,0,2,0,2,1,0,1
"2024-01-03",1,1,0,0,0,0,1,0,1,1,0,1
"2024-01-04",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-05",2,2,0,0,0,0,1,1,2,1,1,2
"2024-01-06",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-07",4,1,0,0,0,0,0,5,5,0,1,1
"2024-01-08",4,2,0,0,0,0,2,2,4,1,1,2
"2024-01-09",2,1,0,0,0,0,2,0,2,1,0,1
"2024-01-10",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-11",2,1,0,0,0,0,2,0,2,1,0,1
"2024-01-12",1,1,0,0,0,0,0,1,1,0,1,1
"2024-01-13",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-14",2,1,0,0,0,0,0,7,7,0,1,1
"2024-01-15",9,6,0,0,0,0,3,6,9,2,4,6
"2024-01-16",21,7,0,0,2,2,5,26,31,3,4,7
"2024-01-17",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-18",9,6,0,0,0,0,3,9,12,3,3,6
"2024-01-19",1,1,0,0,0,0,0,1,1,0,1,1
"2024-01-20",3,2,0,0,0,0,0,3,3,0,2,2
"2024-01-21",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-22",13,4,0,0,0,0,6,8,14,2,2,4
"2024-01-23",8,2,0,0,0,0,4,4,8,1,1,2
"2024-01-24",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-25",3,2,0,0,1,1,0,4,4,0,2,2
"2024-01-26",11,2,0,0,2,2,6,12,18,1,1,2
"2024-01-27",2,1,0,0,0,0,2,0,2,1,0,1
"2024-01-28",0,0,0,0,0,0,0,0,0,0,0,0
"2024-01-29",3,2,0,0,0,0,3,0,3,2,0,2
"2024-01-30",3,2,0,0,0,0,3,0,3,2,0,2
"2024-01-31",0,0,0,0,0,0,0,0,0,0,0,0
"2024-02-01",3,2,0,0,0,0,3,0,3,2,0,2
"2024-02-02",10,4,0,0,0,0,9,2,11,2,2,4
"2024-02-03",2,1,0,0,0,0,2,0,2,1,0,1
"2024-02-04",0,0,0,0,0,0,0,0,0,0,0,0
"2024-02-05",80,33,0,0,4,1,12,80,92,9,24,33
"2024-02-06",21,9,0,0,1,1,7,15,22,3,6,9
"2024-02-07",3,3,0,0,0,0,1,2,3,1,2,3
"2024-02-08",1,1,0,0,0,0,0,1,1,0,1,1
"2024-02-09",4,3,0,0,0,0,3,1,4,2,1,3
"2024-02-10",0,0,0,0,0,0,0,0,0,0,0,0
"2024-02-11",3,1,0,0,0,0,0,3,3,0,1,1
"2024-02-12",4,2,0,0,0,0,3,3,6,1,1,2
"2024-02-13",2,1,0,0,0,0,2,0,2,1,0,1
"2024-02-14",11,5,0,0,0,0,4,8,12,1,4,5
"2024-02-15",18,7,0,0,0,0,1,19,20,1,6,7
"2024-02-16",4,2,0,0,0,0,1,3,4,1,1,2
"2024-02-17",0,0,0,0,0,0,0,0,0,0,0,0
"2024-02-18",2,1,0,0,0,0,0,2,2,0,1,1
"2024-02-19",20,10,0,0,0,0,14,8,22,6,4,10
"2024-02-20",6,2,0,0,0,0,0,6,6,0,2,2
"2024-02-21",4,1,0,0,0,0,4,0,4,1,0,1
"2024-02-22",55,26,0,0,1,1,14,48,62,11,15,26
"2024-02-23",11,6,0,0,1,1,8,4,12,3,3,6
"2024-02-24",9,5,0,0,0,0,3,7,10,3,3,6
"2024-02-25",8,6,0,0,1,1,0,9,9,0,6,6
"2024-02-26",12,9,0,0,2,2,7,7,14,4,5,9
"2024-02-27",23,12,0,0,2,2,13,17,30,6,6,12
"2024-02-28",8,7,0,0,2,2,3,8,11,3,4,7
"2024-02-29",18,3,0,0,0,0,0,18,18,0,3,3
"2024-03-01",2,1,0,0,1,1,0,4,4,0,1,1
"2024-03-02",0,0,0,0,0,0,0,0,0,0,0,0
"2024-03-03",6,3,0,0,0,0,0,6,6,0,3,3
"2024-03-04",2,2,0,0,0,0,2,0,2,2,0,2
"2024-03-05",10,6,0,0,0,0,4,7,11,3,3,6
"2024-03-06",3,2,0,0,1,1,2,3,5,1,1,2
"2024-03-07",20,6,0,0,0,0,15,6,21,3,3,6
"2024-03-08",2,2,0,0,0,0,2,0,2,2,0,2
"2024-03-09",8,5,0,0,0,0,2,9,11,2,3,5
"2024-03-10",6,3,0,0,0,0,2,4,6,1,2,3
"2024-03-11",9,7,0,0,0,0,6,3,9,5,2,7
"2024-03-12",7,4,0,0,0,0,6,3,9,1,3,4
"2024-03-13",2,2,0,0,3,2,2,3,5,1,1,2
"2024-03-14",11,7,0,0,1,1,11,2,13,6,1,7
"2024-03-15",10,7,0,0,4,3,7,13,20,3,4,7
"2024-03-16",7,3,0,0,0,0,1,7,8,1,2,3
"2024-03-17",3,3,0,0,0,0,1,2,3,1,2,3
"2024-03-18",6,5,0,0,0,0,6,1,7,4,1,5
"2024-03-19",4,1,0,0,1,1,4,1,5,1,1,2
"2024-03-20",6,5,0,0,1,1,3,4,7,2,3,5
"2024-03-21",5,2,0,0,0,0,3,3,6,1,1,2
"2024-03-22",2,2,0,0,0,0,0,2,2,0,2,2
"2024-03-23",2,1,0,0,0,0,0,2,2,0,1,1
"2024-03-24",0,0,0,0,0,0,0,0,0,0,0,0
"2024-03-25",12,5,0,0,0,0,5,7,12,3,2,5
"2024-03-26",6,1,0,0,0,0,6,0,6,1,0,1
"2024-03-27",9,5,0,0,0,0,3,6,9,3,3,5
"2024-03-28",5,2,0,0,0,0,4,1,5,1,1,2
"2024-03-29",0,0,0,0,0,0,0,0,0,0,0,0
"2024-03-30",0,0,0,0,0,0,0,0,0,0,0,0
"2024-03-31",4,2,0,0,0,0,0,4,4,0,2,2
"2024-04-01",5,2,0,0,1,1,6,0,6,2,0,2
"2024-04-02",9,4,0,0,1,1,3,7,10,1,3,4
"2024-04-03",4,3,0,0,1,1,5,2,7,2,1,3
