degree,type,b_m_student,start_date,end_date,year,status,eth_department,partner_organisation,thesis_title,data_publication_link,eth_collection_link
bsc,thesis,yes,NA,2021-06-30,NA,archived,MAVT,NA,Self-cleaning Preliminary Screening Mechanisms to Improve Health and Wastewater Treatment Efficiency in Low-income Countries,,https://www.research-collection.ethz.ch/handle/20.500.11850/500152
msc,thesis,yes,NA,2022-03-20,NA,archived,NA,Deutsche Universität für Verwaltungswissenschaften Speyer,Barriers to successful data management in the Global South: Case Study of Malawi,,NA
phd,thesis,no,NA,NA,NA,in-progress,MAVT,NA,Extent and markers of open waste burning,,NA
msc,sem-proj,yes,NA,2022-04-10,NA,archived,MAVT,Sandec,Energy production of Black Soldier Fly larvae: measuring the temperature increase in air induced by Black Soldier Flies throughout their larval stages,,https://www.research-collection.ethz.ch/handle/20.500.11850/583323
phd,thesis,no,NA,2022-08-30,NA,archived,MAVT,NA,How biogas failed to light up a continent: why the most promising technology never spread across Africa,,NA
phd,thesis,no,NA,2025-03-03,NA,archived,MAVT,WASTE Malawi,Evaluating a case of closed-loop plastic recycling in Malawi,,NA
bsc,thesis,yes,NA,2022-07-04,NA,archived,MAVT,WASTE Malawi,Low-cost compost screening technology to improve trash separation,,https://www.research-collection.ethz.ch/handle/20.500.11850/585004
bsc,thesis,yes,NA,2022-09-30,NA,archived,MAVT,AeT,"Feasibility of waste maize husk valorization as a plastic plate replacement in Durban, South Africa",,https://www.research-collection.ethz.ch/handle/20.500.11850/582371
bsc,thesis,yes,NA,2022-07-01,NA,archived,MAVT,AeT,"The development of a recycled plastic wheel for cardboard collector trollies - improving the working conditions of informal cardboard recyclers in Durban, South Africa",,https://www.research-collection.ethz.ch/handle/20.500.11850/586416
msc,thesis,yes,NA,2022-10-01,NA,archived,BAUG,KNUST,"Suitability of the modified Bardenpho process for faecal sludge treatment in Kumasi, Ghana",,https://www.research-collection.ethz.ch/handle/20.500.11850/626839
msc,sem-proj,yes,NA,2022-05-18,NA,archived,MAVT,NA,The state of open research data publishing practices and policies in the fields of global health engineering,,NA
